iter	Logloss
0	0.6370941335
1	0.5855500434
2	0.5421793492
3	0.501051651
4	0.4640600324
5	0.4324340305
6	0.4055463768
7	0.3825304029
8	0.3660574625
9	0.348064643
10	0.3321463268
11	0.317215586
12	0.3037581696
13	0.2928049688
14	0.2816887523
15	0.2716374966
16	0.2616851516
17	0.2548228006
18	0.2486280893
19	0.242607701
20	0.2362285371
21	0.2313471527
22	0.2258635735
23	0.2203863105
24	0.2157399531
25	0.2110135897
26	0.207765365
27	0.2050989878
28	0.2010924432
29	0.1972117085
30	0.1948072723
31	0.1913035407
32	0.1883331877
33	0.1852139533
34	0.1826209566
35	0.1810170961
36	0.1789788561
37	0.1770225951
38	0.1756663941
39	0.1736847354
40	0.1723554632
41	0.1705974063
42	0.1691937229
43	0.1677163202
44	0.1667183354
45	0.1658304656
46	0.1648615003
47	0.1631724659
48	0.1622952852
49	0.1611247589
50	0.1596592526
51	0.1584853546
52	0.1574564069
53	0.1561269874
54	0.1552018826
55	0.1540940478
56	0.153097123
57	0.1524110499
58	0.1513317192
59	0.1505790382
60	0.1497722198
61	0.1489208784
62	0.147952664
63	0.1471967144
64	0.1464976848
65	0.1459728016
66	0.1453825472
67	0.1445778196
68	0.1436864899
69	0.1428497981
70	0.1422669642
71	0.1416551403
72	0.1411289762
73	0.1403494694
74	0.1399661207
75	0.1390778387
76	0.1384208439
77	0.1376496705
78	0.1371221224
79	0.1365563822
80	0.1360343995
81	0.1356246078
82	0.1348444385
83	0.1344420378
84	0.1339417571
85	0.1335079518
86	0.133151841
87	0.1328768552
88	0.1323276934
89	0.1320131316
90	0.1315654423
91	0.1308476259
92	0.1304037499
93	0.1300778953
94	0.1297554418
95	0.1294746992
96	0.1291001108
97	0.1287655695
98	0.1284132868
99	0.1281593405
100	0.1278886539
101	0.1274891979
102	0.127099415
103	0.1268189964
104	0.1261050963
105	0.1258702019
106	0.1255977632
107	0.1252321854
108	0.1249129268
109	0.1247032091
110	0.1243219805
111	0.1239037376
112	0.1234843905
113	0.1229782647
114	0.122527697
115	0.1222834754
116	0.1217257594
117	0.1215024448
118	0.1212081348
119	0.1208004043
120	0.1205527669
121	0.1203115121
122	0.1202549307
123	0.1200043413
124	0.1196206023
125	0.1193741134
126	0.1187314001
127	0.1184068633
128	0.1182367585
129	0.1180607496
130	0.1178620375
131	0.1175344088
132	0.117276605
133	0.1168362405
134	0.1164328976
135	0.1159300771
136	0.1157442773
137	0.1156157067
138	0.115310553
139	0.1150801712
140	0.1148383274
141	0.1146295741
142	0.1140967845
143	0.1139175881
144	0.1134854539
145	0.1131365648
146	0.11290661
147	0.1125710676
148	0.1122069326
149	0.1118709926
150	0.1116185407
151	0.1112290008
152	0.1108950485
153	0.1105954749
154	0.1103333719
155	0.110149707
156	0.1099620889
157	0.1096050873
158	0.1093090841
159	0.1090204057
160	0.108797761
161	0.108464243
162	0.1081268086
163	0.1079619967
164	0.1074543324
165	0.1072047
166	0.1070215062
167	0.1068438777
168	0.10667858
169	0.1065986181
170	0.1063732791
171	0.1061129429
172	0.1059573993
173	0.1057625153
174	0.1056263327
175	0.1054603946
176	0.1052695815
177	0.1051141999
178	0.1049585679
179	0.1048301446
180	0.1045860039
181	0.1043354808
182	0.1041883589
183	0.1039419951
184	0.1038361277
185	0.1033871795
186	0.1032399619
187	0.1031027929
188	0.1026304349
189	0.1026176551
190	0.1026044705
191	0.1024483527
192	0.1022962249
193	0.1020363083
194	0.1018768778
195	0.1017668953
196	0.1016450679
197	0.1016000148
198	0.1014682713
199	0.1013628898
200	0.101133627
201	0.1008207362
202	0.1005901704
203	0.1005139851
204	0.1003994678
205	0.1001930333
206	0.09998536216
207	0.09989000715
208	0.0996596033
209	0.09949521842
210	0.09936528591
211	0.09919878088
212	0.09910471415
213	0.09874886101
214	0.09862715878
215	0.0984786529
216	0.09831429747
217	0.09803879636
218	0.09783669056
219	0.09764553149
220	0.09744959472
221	0.09724143031
222	0.09722706044
223	0.09705510782
224	0.09698463507
225	0.096923622
226	0.09683725552
227	0.09660728601
228	0.0965437111
229	0.09639153914
230	0.09630622537
231	0.09610829361
232	0.09603627492
233	0.09581829012
234	0.09569046302
235	0.09555967656
236	0.09543749582
237	0.09529804473
238	0.09527093926
239	0.09518657515
240	0.09503190024
241	0.09480519192
242	0.0947129656
243	0.09456212609
244	0.09438879685
245	0.09432646605
246	0.09416320013
247	0.09400862828
248	0.09379254278
249	0.09370291511
250	0.09368740418
251	0.09363648389
252	0.09351672512
253	0.09340614629
254	0.09322441744
255	0.0931566096
256	0.0929523174
257	0.0927714425
258	0.09256763617
259	0.09246008296
260	0.09233310982
261	0.09225395772
262	0.09215562126
263	0.09214995281
264	0.09205148384
265	0.09197387769
266	0.0918318574
267	0.09171326177
268	0.09161150215
269	0.09123552235
270	0.09113809137
271	0.09102238885
272	0.09101275986
273	0.09090188656
274	0.0907541463
275	0.09057093777
276	0.09049141759
277	0.09016055713
278	0.08999458215
279	0.08993378992
280	0.08993028579
281	0.08989181399
282	0.08983181682
283	0.08982849673
284	0.0897079061
285	0.08969676062
286	0.08952653062
287	0.08941058517
288	0.08920860452
289	0.08911218207
290	0.08904061981
291	0.08892892937
292	0.08885820633
293	0.08880575482
294	0.08873378766
295	0.08857052175
296	0.08848471475
297	0.08840888275
298	0.08836875458
299	0.08836095127
300	0.08835361174
301	0.0882995922
302	0.08809836244
303	0.08805141005
304	0.08795312512
305	0.0879478542
306	0.08786700894
307	0.08777475317
308	0.08765375029
309	0.08752292702
310	0.0874507022
311	0.08722677658
312	0.08710491239
313	0.08701206033
314	0.08695134172
315	0.08682190243
316	0.08663734673
317	0.08651114655
318	0.08639862425
319	0.08621540099
320	0.08615870183
321	0.08607121639
322	0.0860195084
323	0.08597553747
324	0.08594045201
325	0.08582446975
326	0.08578271467
327	0.08573734503
328	0.08568645418
329	0.08560969461
330	0.08560327528
331	0.0856007208
332	0.0854901567
333	0.08536842502
334	0.08530150057
335	0.08515875148
336	0.08512216425
