iter	Passed	Remaining
0	37	37741
1	72	36076
2	103	34277
3	148	37069
4	189	37671
5	222	36923
6	255	36269
7	295	36648
8	329	36334
9	355	35200
10	386	34787
11	422	34785
12	450	34208
13	481	33935
14	516	33938
15	550	33830
16	582	33654
17	622	33949
18	665	34371
19	698	34210
20	728	33966
21	759	33767
22	794	33769
23	828	33679
24	860	33559
25	893	33490
26	929	33503
27	965	33525
28	1000	33500
29	1033	33422
30	1066	33321
31	1100	33283
32	1134	33231
33	1172	33324
34	1210	33387
35	1246	33369
36	1283	33401
37	1322	33481
38	1352	33319
39	1387	33291
40	1424	33318
41	1457	33242
42	1494	33272
43	1528	33200
44	1559	33095
45	1603	33254
46	1636	33177
47	1666	33057
48	1699	32986
49	1731	32891
50	1764	32831
51	1797	32777
52	1828	32674
53	1860	32588
54	1895	32572
55	1934	32616
56	1966	32533
57	1999	32479
58	2032	32413
59	2076	32536
60	2109	32478
61	2145	32452
62	2179	32411
63	2215	32405
64	2256	32459
65	2295	32479
66	2325	32380
67	2358	32329
68	2396	32336
69	2433	32336
70	2465	32263
71	2498	32202
72	2536	32207
73	2569	32158
74	2602	32098
75	2637	32067
76	2671	32019
77	2704	31968
78	2739	31932
79	2770	31862
80	2801	31788
81	2837	31765
82	2868	31693
83	2901	31644
84	2938	31631
85	2970	31569
86	3001	31493
87	3033	31436
88	3066	31392
89	3098	31334
90	3134	31307
91	3167	31264
92	3199	31207
93	3232	31153
94	3268	31140
95	3303	31109
96	3337	31071
97	3369	31014
98	3405	30991
99	3437	30939
100	3476	30946
101	3509	30897
102	3548	30899
103	3579	30841
104	3613	30798
105	3648	30769
106	3680	30718
107	3716	30699
108	3748	30642
109	3783	30614
110	3816	30568
111	3854	30559
112	3888	30521
113	3924	30499
114	3956	30451
115	3991	30419
116	4027	30397
117	4060	30349
118	4095	30317
119	4127	30266
120	4158	30211
121	4193	30180
122	4216	30063
123	4250	30030
124	4287	30010
125	4324	29999
126	4359	29969
127	4394	29938
128	4430	29917
129	4461	29858
130	4494	29813
131	4528	29780
132	4559	29724
133	4591	29676
134	4633	29691
135	4664	29635
136	4699	29604
137	4731	29557
138	4764	29511
139	4796	29465
140	4828	29414
141	4859	29360
142	4891	29315
143	4925	29279
144	4956	29224
145	4989	29187
146	5030	29191
147	5062	29142
148	5094	29099
149	5126	29050
150	5158	29003
151	5208	29056
152	5238	29001
153	5269	28947
154	5302	28906
155	5337	28878
156	5369	28832
157	5406	28810
158	5439	28773
159	5470	28721
160	5503	28682
161	5537	28644
162	5568	28592
163	5600	28549
164	5633	28506
165	5667	28474
166	5701	28436
167	5733	28394
168	5765	28348
169	5797	28305
170	5833	28280
171	5868	28252
172	5902	28214
173	5932	28163
174	5972	28155
175	6004	28109
176	6038	28079
177	6074	28049
178	6105	28004
179	6139	27966
180	6171	27927
181	6205	27892
182	6244	27876
183	6290	27897
184	6326	27870
185	6359	27833
186	6391	27787
187	6425	27751
188	6463	27734
189	6486	27654
190	6509	27572
191	6540	27522
192	6570	27472
193	6602	27431
194	6635	27391
195	6666	27346
196	6705	27332
197	6737	27289
198	6767	27240
199	6805	27223
200	6840	27190
201	6873	27155
202	6907	27118
203	6940	27083
204	6980	27071
205	7014	27035
206	7045	26989
207	7078	26953
208	7111	26915
209	7144	26876
210	7177	26840
211	7210	26800
212	7249	26784
213	7279	26738
214	7310	26693
215	7344	26657
216	7384	26646
217	7417	26606
218	7448	26561
219	7483	26531
220	7518	26500
221	7551	26463
222	7573	26389
223	7604	26344
224	7636	26304
225	7667	26260
226	7698	26216
227	7732	26181
228	7763	26136
229	7796	26101
230	7829	26063
231	7861	26025
232	7894	25988
233	7932	25968
234	7970	25945
235	8010	25931
236	8050	25916
237	8082	25876
238	8111	25826
239	8141	25782
240	8192	25800
241	8225	25765
242	8258	25726
243	8294	25698
244	8340	25701
245	8373	25665
246	8406	25628
247	8436	25583
248	8469	25544
249	8500	25502
250	8523	25435
251	8548	25374
252	8579	25330
253	8617	25308
254	8649	25270
255	8681	25229
256	8715	25197
257	8757	25185
258	8788	25142
259	8818	25099
260	8859	25085
261	8896	25058
262	8939	25050
263	8958	24976
264	8989	24933
265	9019	24888
266	9051	24848
267	9092	24833
268	9128	24806
269	9164	24779
270	9196	24738
271	9230	24704
272	9253	24642
273	9283	24598
274	9314	24556
275	9347	24519
276	9381	24486
277	9413	24448
278	9446	24413
279	9479	24376
280	9500	24308
281	9526	24255
282	9556	24213
283	9577	24146
284	9610	24109
285	9631	24045
286	9663	24008
287	9696	23971
288	9728	23933
289	9759	23893
290	9799	23876
291	9837	23851
292	9878	23836
293	9913	23805
294	9946	23770
295	9976	23728
296	10015	23706
297	10047	23668
298	10087	23649
299	10113	23597
300	10150	23572
301	10183	23535
302	10214	23496
303	10246	23458
304	10278	23422
305	10303	23367
306	10332	23324
307	10368	23294
308	10407	23274
309	10451	23262
310	10482	23222
311	10514	23185
312	10545	23147
313	10579	23112
314	10618	23091
315	10650	23052
316	10681	23013
317	10713	22977
318	10747	22943
319	10780	22908
320	10813	22874
321	10848	22842
322	10886	22817
323	10919	22783
324	10951	22745
325	10987	22717
326	11019	22679
327	11054	22647
328	11085	22608
329	11119	22575
330	11141	22518
331	11162	22460
332	11194	22422
333	11226	22385
334	11259	22350
335	11291	22313
336	11325	22281
337	11366	22261
338	11399	22226
339	11442	22212
340	11479	22184
341	11512	22149
342	11556	22136
343	11587	22097
344	11620	22061
345	11641	22004
346	11672	21966
347	11703	21926
348	11734	21888
349	11765	21850
350	11796	21812
351	11826	21772
352	11848	21717
353	11881	21681
354	11913	21645
355	11950	21618
356	11981	21580
357	12016	21549
358	12051	21517
359	12083	21480
360	12115	21446
361	12138	21392
362	12164	21346
363	12198	21314
364	12232	21280
365	12266	21247
366	12286	21191
367	12319	21157
368	12354	21126
369	12378	21076
370	12411	21043
371	12438	20997
372	12465	20953
373	12498	20920
374	12529	20882
375	12563	20850
376	12595	20813
377	12626	20777
378	12646	20721
379	12676	20683
380	12697	20629
381	12730	20594
382	12772	20575
383	12793	20522
384	12823	20484
385	12855	20448
386	12901	20435
387	12932	20398
388	12962	20360
389	12993	20323
390	13025	20288
391	13060	20256
392	13091	20220
393	13123	20184
394	13154	20148
395	13188	20115
396	13221	20081
397	13256	20050
398	13287	20014
399	13323	19985
400	13344	19934
401	13376	19898
402	13410	19865
403	13447	19837
404	13494	19824
405	13535	19802
406	13570	19772
407	13596	19728
408	13616	19675
409	13667	19668
410	13712	19651
411	13751	19626
412	13797	19611
413	13832	19578
414	13866	19546
415	13904	19519
416	13945	19497
417	13973	19456
418	13997	19409
419	14029	19374
420	14052	19326
421	14084	19291
422	14104	19239
423	14138	19206
424	14173	19175
425	14204	19139
426	14242	19111
427	14264	19063
428	14298	19030
429	14329	18995
430	14354	18950
431	14386	18916
432	14418	18880
433	14449	18844
434	14486	18816
435	14521	18784
436	14557	18755
437	14597	18730
438	14632	18698
439	14676	18679
440	14710	18647
441	14749	18619
442	14781	18585
443	14816	18553
444	14849	18519
445	14883	18487
446	14915	18453
447	14940	18408
448	14974	18375
449	15014	18351
450	15052	18323
451	15091	18297
452	15123	18262
453	15157	18229
454	15199	18206
455	15243	18184
456	15280	18156
457	15312	18121
458	15350	18092
459	15371	18045
460	15403	18009
461	15436	17975
462	15473	17946
463	15499	17905
464	15530	17868
465	15564	17835
466	15598	17803
467	15629	17767
468	15663	17733
469	15700	17705
470	15738	17676
471	15769	17640
472	15800	17604
473	15835	17572
474	15871	17541
475	15904	17508
476	15949	17488
477	15985	17457
478	16022	17427
479	16064	17403
480	16112	17385
481	16149	17355
482	16194	17333
483	16232	17305
484	16275	17282
485	16313	17253
486	16345	17218
487	16395	17201
488	16429	17168
489	16476	17148
490	16515	17121
491	16568	17107
492	16613	17085
493	16663	17068
494	16711	17049
495	16753	17024
496	16798	17001
497	16847	16982
498	16890	16958
499	16937	16937
500	16979	16911
501	17037	16901
502	17089	16885
503	17140	16868
504	17182	16842
505	17220	16811
506	17263	16786
507	17311	16766
508	17352	16738
509	17402	16720
510	17446	16695
511	17490	16670
512	17546	16657
513	17609	16649
514	17651	16623
515	17694	16597
516	17733	16567
517	17766	16531
518	17802	16498
519	17839	16467
520	17883	16441
521	17917	16407
522	17955	16376
523	17988	16340
524	18022	16306
525	18061	16276
526	18100	16245
527	18130	16207
528	18166	16174
529	18202	16141
530	18237	16108
531	18266	16069
532	18305	16038
533	18341	16006
534	18378	15973
535	18415	15941
536	18453	15910
537	18493	15881
538	18537	15855
539	18568	15817
540	18606	15786
541	18645	15755
542	18684	15725
543	18732	15701
544	18774	15674
545	18815	15645
546	18849	15609
547	18890	15581
548	18919	15542
549	18954	15508
550	18990	15475
551	19038	15451
552	19065	15411
553	19102	15378
554	19139	15346
555	19169	15308
556	19215	15282
557	19256	15253
558	19283	15213
559	19318	15178
560	19347	15139
561	19377	15101
562	19411	15066
563	19458	15042
564	19497	15011
565	19529	14975
566	19569	14944
567	19604	14910
568	19638	14875
569	19673	14841
570	19710	14808
571	19740	14770
572	19777	14738
573	19820	14709
574	19857	14677
575	19898	14647
576	19944	14621
577	19991	14596
578	20042	14573
579	20082	14542
580	20116	14507
581	20152	14473
582	20199	14448
583	20256	14429
584	20299	14400
585	20330	14363
586	20366	14329
587	20398	14292
588	20444	14265
589	20479	14231
590	20515	14197
591	20558	14168
592	20594	14134
593	20626	14098
594	20667	14067
595	20702	14033
596	20731	13994
597	20766	13960
598	20802	13926
599	20831	13887
600	20860	13848
601	20894	13813
602	20939	13786
603	20973	13750
604	21002	13712
605	21039	13679
606	21072	13643
607	21102	13605
608	21138	13571
609	21174	13537
610	21201	13498
611	21232	13461
612	21286	13438
613	21322	13404
614	21356	13369
615	21391	13334
616	21432	13304
617	21470	13271
618	21500	13233
619	21538	13200
620	21574	13167
621	21622	13140
622	21663	13109
623	21696	13073
624	21739	13043
625	21768	13005
626	21798	12967
627	21846	12940
628	21876	12903
629	21918	12872
630	21948	12835
631	21976	12796
632	22014	12763
633	22058	12734
634	22094	12700
635	22132	12666
636	22166	12632
637	22200	12596
638	22233	12560
639	22273	12528
640	22317	12499
641	22351	12463
642	22381	12426
643	22425	12396
644	22471	12367
645	22509	12334
646	22544	12300
647	22579	12265
648	22615	12230
649	22647	12194
650	22692	12165
651	22739	12136
652	22785	12108
653	22820	12073
654	22859	12040
655	22895	12006
656	22931	11971
657	22962	11935
